param_index,param_name,unit,norm_value,readback,display
15,"Proximity","",1.000000,1.000000,"100"
16,"Lowpass","",0.000000,0.000000,""
16,"Lowpass","",0.031250,0.030000,""
16,"Lowpass","",0.062500,0.060000,""
16,"Lowpass","",0.093750,0.090000,""
16,"Lowpass","",0.125000,0.120000,""
16,"Lowpass","",0.156250,0.150000,""
16,"Lowpass","",0.187500,0.180000,""
16,"Lowpass","",0.218750,0.210000,""
16,"Lowpass","",0.250000,0.250000,""
16,"Lowpass","",0.281250,0.280000,""
16,"Lowpass","",0.312500,0.310000,""
16,"Lowpass","",0.343750,0.340000,""
16,"Lowpass","",0.375000,0.370000,""
16,"Lowpass","",0.406250,0.400000,""
16,"Lowpass","",0.437500,0.430000,""
16,"Lowpass","",0.468750,0.460000,""
16,"Lowpass","",0.500000,0.500000,""
16,"Lowpass","",0.531250,0.530000,""
16,"Lowpass","",0.562500,0.560000,""
16,"Lowpass","",0.593750,0.590000,""
16,"Lowpass","",0.625000,0.620000,""
16,"Lowpass","",0.656250,0.650000,""
16,"Lowpass","",0.687500,0.680000,""
16,"Lowpass","",0.718750,0.710000,""
16,"Lowpass","",0.750000,0.750000,""
16,"Lowpass","",0.781250,0.780000,""
16,"Lowpass","",0.812500,0.810000,""
16,"Lowpass","",0.843750,0.840000,""
16,"Lowpass","",0.875000,0.870000,""
16,"Lowpass","",0.906250,0.900000,""
16,"Lowpass","",0.937500,0.930000,""
